product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
179,"Экзотические виды мяса (например, страус, кенгуру)",7531.0,809,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2025-01-06,2025-01-06,3.18,Available for Pickup
180,Пироги с мясом,3597.0,258,Мясо,Идеален для перекусов между основными приемами пищи.,2000-05-10,2000-05-10,2.32,Returned
181,Лардон,4917.0,613,Мясо,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2025-04-01,2025-04-01,3.88,Cancelled
182,Чизбургеры,1364.0,535,Мясо,"Является источником витаминов группы B, необходимых для энергетического обмена.",2016-05-02,2016-05-02,0.95,Out of Stock
183,Авокадо,3241.0,92,Фрукты,"Помогает поддерживать нормальный уровень глутатиона, главного антиоксиданта организма.",2023-02-02,2023-02-02,3.78,Backorder
184,Папайя,3808.0,195,Фрукты,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2030-04-09,2030-04-09,2.09,New
185,Баклажан,6704.0,866,Овощи,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2029-01-01,2029-01-01,3.18,Sold
186,Апельсин,2073.0,686,Фрукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2021-01-02,2021-01-02,0.35,Temporarily Unavailable
187,Хурма,5772.0,131,Фрукты,"Помогает поддерживать нормальный уровень сапонинов, веществ, способствующих снижению уровня холестерина.",2007-01-03,2007-01-03,1.52,Shipping
188,Сидр яблочный,3700.0,133,Напитки,"Отличается высоким содержанием карнитина, необходимого для преобразования жиров в энергию.",2008-10-06,2008-10-06,3.35,Temporarily Unavailable
189,Брокколи,6693.0,734,Овощи,"Помогает поддерживать нормальный уровень эндорфинов, гормонов радости и удовольствия.",1998-05-06,1998-05-06,4.62,Pending
190,Темный шоколад,5725.0,176,Бакалея,"Отличается высоким содержанием мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2027-01-11,2027-01-11,1.25,Refunded
191,Каша из дробленой кукурузы,3532.0,969,Бакалея,Помогает предотвратить дефицит витаминов и минералов в организме.,2022-06-09,2022-06-09,4.27,Available for Pickup
192,Крольчатина,1985.0,865,Мясо,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2009-04-02,2009-04-02,4.36,Pending
193,Миксер,3192.0,603,Товары для дома,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2026-07-06,2026-07-06,2.84,Out of Stock
194,Полба,1236.0,621,Бакалея,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",2014-03-04,2014-03-04,0.8,Sold
